Train_ID,Train_Name,Source,Destination,Route,Date,Departure_Time,Day_of_Week,Is_Weekend,Is_Holiday,Platform_Number,Num_Coaches,Seat_Capacity,Passenger_Count,Seat_Occupancy_Percent,Delay_Minutes,Weather,Season,Demand_Level
TR457,Garib Rath,Bangalore,Nagpur,Bangalore-Nagpur,04-05-2025,07:42,Sunday,1,0,4,16,1152,811,70.4,32,Clear,Monsoon,Medium
TR636,Rajdhani Express,Chennai,Nagpur,Chennai-Nagpur,26-12-2025,01:40,Friday,0,0,4,18,1296,1250,96.45,10,Clear,Summer,High
TR307,Duronto Express,Kolkata,Lucknow,Kolkata-Lucknow,06-01-2025,16:27,Monday,0,0,5,10,720,361,50.14,11,Fog,Winter,Low
TR903,Shatabdi Express,Hyderabad,Lucknow,Hyderabad-Lucknow,18-08-2025,18:13,Monday,0,0,1,9,648,337,52.01,0,Clear,Monsoon,Low
TR379,Shatabdi Express,Chennai,Vizag,Chennai-Vizag,09-01-2025,00:28,Thursday,0,0,2,9,648,666,102.78,14,Cloudy,Monsoon,High
TR674,Duronto Express,Hyderabad,Jaipur,Hyderabad-Jaipur,12-04-2025,06:04,Saturday,1,0,1,16,1152,1202,104.34,16,Clear,Monsoon,High
TR423,Garib Rath,Mumbai,Pune,Mumbai-Pune,08-07-2025,22:35,Tuesday,0,0,9,11,792,629,79.42,2,Fog,Monsoon,Medium
TR440,Shatabdi Express,Hyderabad,Nagpur,Hyderabad-Nagpur,17-07-2025,18:59,Thursday,0,0,10,8,576,535,92.88,12,Rainy,Summer,High
TR803,Intercity Express,Kolkata,Nagpur,Kolkata-Nagpur,07-05-2025,18:56,Wednesday,0,0,9,20,1440,1395,96.88,4,Clear,Winter,High
TR930,Duronto Express,Mumbai,Pune,Mumbai-Pune,26-05-2025,21:15,Monday,0,0,6,11,792,449,56.69,0,Cloudy,Monsoon,Low
TR671,Shatabdi Express,Bangalore,Pune,Bangalore-Pune,03-05-2025,04:48,Saturday,1,0,1,12,864,938,108.56,11,Cloudy,Summer,High
TR703,Garib Rath,Hyderabad,Jaipur,Hyderabad-Jaipur,22-02-2025,05:16,Saturday,1,0,9,10,720,360,50,0,Cloudy,Monsoon,Low
TR710,Shatabdi Express,Delhi,Nagpur,Delhi-Nagpur,15-04-2025,07:39,Tuesday,0,0,3,17,1224,702,57.35,1,Clear,Summer,Low
TR759,Shatabdi Express,Mumbai,Lucknow,Mumbai-Lucknow,03-09-2025,14:46,Wednesday,0,0,10,20,1440,850,59.03,0,Cloudy,Summer,Low
TR520,Duronto Express,Delhi,Lucknow,Delhi-Lucknow,12-05-2025,14:20,Monday,0,0,8,17,1224,1000,81.7,1,Cloudy,Summer,Medium
TR414,Garib Rath,Delhi,Vizag,Delhi-Vizag,01-09-2025,02:26,Monday,0,0,9,14,1008,512,50.79,21,Rainy,Summer,Low
TR236,Rajdhani Express,Kolkata,Nagpur,Kolkata-Nagpur,11-04-2025,19:16,Friday,0,0,3,16,1152,1020,88.54,25,Rainy,Summer,Medium
TR582,Duronto Express,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,26-05-2025,09:51,Monday,0,0,6,9,648,491,75.77,25,Clear,Summer,Medium
TR271,Garib Rath,Bangalore,Jaipur,Bangalore-Jaipur,14-12-2025,07:57,Sunday,1,0,5,20,1440,832,57.78,20,Rainy,Winter,Low
TR337,Rajdhani Express,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,04-01-2025,15:39,Saturday,1,0,4,10,720,640,88.89,16,Fog,Monsoon,Medium
TR253,Rajdhani Express,Mumbai,Pune,Mumbai-Pune,01-11-2025,12:34,Saturday,1,0,6,13,936,899,96.05,23,Clear,Winter,High
TR417,Garib Rath,Chennai,Pune,Chennai-Pune,27-07-2025,00:42,Sunday,1,0,9,15,1080,670,62.04,0,Fog,Summer,Medium
TR778,Intercity Express,Mumbai,Nagpur,Mumbai-Nagpur,02-07-2025,17:59,Wednesday,0,0,4,17,1224,1313,107.27,2,Fog,Monsoon,High
TR921,Shatabdi Express,Chennai,Ahmedabad,Chennai-Ahmedabad,26-05-2025,08:01,Monday,0,0,5,17,1224,721,58.91,1,Clear,Monsoon,Low
TR915,Shatabdi Express,Kolkata,Nagpur,Kolkata-Nagpur,17-03-2025,16:29,Monday,0,0,1,12,864,612,70.83,35,Clear,Winter,Medium
TR835,Duronto Express,Hyderabad,Vizag,Hyderabad-Vizag,29-07-2025,06:04,Tuesday,0,0,9,14,1008,1100,109.13,24,Rainy,Summer,High
TR538,Duronto Express,Kolkata,Vizag,Kolkata-Vizag,07-05-2025,02:00,Wednesday,0,0,6,10,720,739,102.64,0,Cloudy,Summer,High
TR735,Rajdhani Express,Kolkata,Nagpur,Kolkata-Nagpur,03-06-2025,17:53,Tuesday,0,0,1,13,936,917,97.97,20,Cloudy,Winter,High
TR730,Rajdhani Express,Hyderabad,Lucknow,Hyderabad-Lucknow,22-06-2025,09:17,Sunday,1,0,5,12,864,600,69.44,0,Clear,Monsoon,Medium
TR890,Garib Rath,Chennai,Lucknow,Chennai-Lucknow,24-04-2025,01:35,Thursday,0,0,9,9,648,524,80.86,17,Clear,Winter,Medium
TR959,Garib Rath,Delhi,Nagpur,Delhi-Nagpur,29-03-2025,21:04,Saturday,1,0,10,8,576,550,95.49,0,Rainy,Winter,High
TR448,Garib Rath,Hyderabad,Jaipur,Hyderabad-Jaipur,20-02-2025,21:19,Thursday,0,0,2,8,576,295,51.22,0,Fog,Summer,Low
TR981,Shatabdi Express,Bangalore,Jaipur,Bangalore-Jaipur,03-12-2025,11:14,Wednesday,0,0,6,16,1152,739,64.15,19,Fog,Summer,Medium
TR275,Shatabdi Express,Delhi,Jaipur,Delhi-Jaipur,27-11-2025,18:58,Thursday,0,0,5,17,1224,940,76.8,0,Clear,Winter,Medium
TR501,Duronto Express,Bangalore,Jaipur,Bangalore-Jaipur,26-09-2025,07:30,Friday,0,1,7,14,1008,790,78.37,0,Cloudy,Summer,Medium
TR418,Rajdhani Express,Delhi,Lucknow,Delhi-Lucknow,12-12-2025,15:45,Friday,0,0,6,10,720,786,109.17,10,Rainy,Monsoon,High
TR961,Shatabdi Express,Delhi,Vizag,Delhi-Vizag,08-10-2025,16:12,Wednesday,0,0,7,9,648,365,56.33,9,Clear,Summer,Low
TR354,Rajdhani Express,Mumbai,Vizag,Mumbai-Vizag,25-08-2025,19:02,Monday,0,0,4,15,1080,677,62.69,0,Cloudy,Winter,Medium
TR196,Shatabdi Express,Kolkata,Vizag,Kolkata-Vizag,27-08-2025,14:07,Wednesday,0,0,1,13,936,705,75.32,36,Rainy,Summer,Medium
TR315,Duronto Express,Chennai,Pune,Chennai-Pune,22-08-2025,17:09,Friday,0,0,6,19,1368,1120,81.87,13,Fog,Summer,Medium
TR426,Garib Rath,Chennai,Vizag,Chennai-Vizag,08-01-2025,12:36,Wednesday,0,0,9,19,1368,1170,85.53,5,Rainy,Summer,Medium
TR664,Intercity Express,Kolkata,Ahmedabad,Kolkata-Ahmedabad,03-02-2025,18:15,Monday,0,1,2,13,936,940,100.43,22,Rainy,Summer,High
TR200,Garib Rath,Chennai,Pune,Chennai-Pune,26-07-2025,23:43,Saturday,1,0,6,15,1080,965,89.35,25,Cloudy,Monsoon,Medium
TR426,Rajdhani Express,Mumbai,Vizag,Mumbai-Vizag,14-12-2025,12:12,Sunday,1,0,10,19,1368,886,64.77,18,Fog,Monsoon,Medium
TR375,Duronto Express,Mumbai,Nagpur,Mumbai-Nagpur,05-05-2025,03:50,Monday,0,0,3,13,936,560,59.83,6,Cloudy,Monsoon,Low
TR285,Rajdhani Express,Mumbai,Jaipur,Mumbai-Jaipur,29-11-2025,14:08,Saturday,1,0,1,12,864,656,75.93,0,Cloudy,Summer,Medium
TR673,Garib Rath,Mumbai,Lucknow,Mumbai-Lucknow,06-08-2025,11:08,Wednesday,0,0,5,17,1224,816,66.67,21,Fog,Winter,Medium
TR863,Garib Rath,Hyderabad,Nagpur,Hyderabad-Nagpur,01-12-2025,18:46,Monday,0,0,7,10,720,468,65,29,Cloudy,Summer,Medium
TR798,Rajdhani Express,Mumbai,Ahmedabad,Mumbai-Ahmedabad,08-08-2025,01:58,Friday,0,0,7,9,648,386,59.57,29,Clear,Summer,Low
TR683,Duronto Express,Bangalore,Jaipur,Bangalore-Jaipur,07-04-2025,07:58,Monday,0,0,6,18,1296,844,65.12,26,Clear,Monsoon,Medium
TR413,Shatabdi Express,Kolkata,Ahmedabad,Kolkata-Ahmedabad,10-08-2025,11:22,Sunday,1,0,5,8,576,571,99.13,16,Clear,Monsoon,High
TR577,Shatabdi Express,Delhi,Lucknow,Delhi-Lucknow,06-01-2025,12:39,Monday,0,0,4,20,1440,850,59.03,0,Rainy,Monsoon,Low
TR324,Shatabdi Express,Delhi,Jaipur,Delhi-Jaipur,05-09-2025,10:42,Friday,0,0,3,10,720,500,69.44,0,Cloudy,Winter,Medium
TR794,Rajdhani Express,Mumbai,Vizag,Mumbai-Vizag,20-01-2025,01:42,Monday,0,0,5,11,792,760,95.96,3,Cloudy,Monsoon,High
TR492,Intercity Express,Hyderabad,Vizag,Hyderabad-Vizag,04-10-2025,17:18,Saturday,1,0,5,13,936,802,85.68,25,Fog,Winter,Medium
TR260,Garib Rath,Delhi,Pune,Delhi-Pune,26-03-2025,15:02,Wednesday,0,0,10,9,648,599,92.44,12,Clear,Monsoon,High
TR896,Rajdhani Express,Delhi,Lucknow,Delhi-Lucknow,13-09-2025,09:30,Saturday,1,0,2,14,1008,785,77.88,11,Cloudy,Winter,Medium
TR718,Garib Rath,Chennai,Jaipur,Chennai-Jaipur,23-05-2025,18:28,Friday,0,0,3,11,792,749,94.57,17,Cloudy,Monsoon,High
TR753,Rajdhani Express,Bangalore,Jaipur,Bangalore-Jaipur,27-11-2025,02:33,Thursday,0,1,1,15,1080,722,66.85,0,Rainy,Summer,Medium
TR149,Shatabdi Express,Delhi,Jaipur,Delhi-Jaipur,10-11-2025,06:56,Monday,0,0,9,15,1080,956,88.52,5,Rainy,Summer,Medium
TR874,Shatabdi Express,Kolkata,Jaipur,Kolkata-Jaipur,20-09-2025,09:33,Saturday,1,0,6,11,792,589,74.37,20,Clear,Winter,Medium
TR466,Intercity Express,Mumbai,Jaipur,Mumbai-Jaipur,06-02-2025,14:10,Thursday,0,0,9,11,792,671,84.72,18,Cloudy,Monsoon,Medium
TR940,Rajdhani Express,Bangalore,Vizag,Bangalore-Vizag,08-01-2025,18:24,Wednesday,0,0,9,16,1152,715,62.07,10,Fog,Monsoon,Medium
TR722,Rajdhani Express,Bangalore,Lucknow,Bangalore-Lucknow,30-01-2025,18:18,Thursday,0,0,2,15,1080,1110,102.78,16,Rainy,Winter,High
TR639,Duronto Express,Kolkata,Ahmedabad,Kolkata-Ahmedabad,11-02-2025,14:17,Tuesday,0,0,7,11,792,735,92.8,11,Clear,Summer,High
TR571,Garib Rath,Bangalore,Vizag,Bangalore-Vizag,18-05-2025,21:49,Sunday,1,0,2,18,1296,1311,101.16,2,Cloudy,Summer,High
TR239,Garib Rath,Bangalore,Pune,Bangalore-Pune,21-08-2025,03:00,Thursday,0,0,6,13,936,482,51.5,21,Fog,Monsoon,Low
TR113,Garib Rath,Hyderabad,Vizag,Hyderabad-Vizag,23-08-2025,09:43,Saturday,1,0,5,18,1296,672,51.85,31,Fog,Summer,Low
TR865,Rajdhani Express,Delhi,Vizag,Delhi-Vizag,01-08-2025,22:16,Friday,0,0,3,10,720,630,87.5,0,Rainy,Winter,Medium
TR994,Rajdhani Express,Delhi,Ahmedabad,Delhi-Ahmedabad,23-02-2025,23:37,Sunday,1,0,10,10,720,545,75.69,0,Fog,Summer,Medium
TR998,Intercity Express,Chennai,Jaipur,Chennai-Jaipur,07-11-2025,19:09,Friday,0,0,9,14,1008,740,73.41,22,Rainy,Summer,Medium
TR332,Duronto Express,Kolkata,Jaipur,Kolkata-Jaipur,04-09-2025,07:10,Thursday,0,0,10,14,1008,578,57.34,13,Cloudy,Summer,Low
TR136,Shatabdi Express,Chennai,Jaipur,Chennai-Jaipur,18-01-2025,12:08,Saturday,1,0,1,14,1008,1093,108.43,0,Rainy,Winter,High
TR754,Rajdhani Express,Delhi,Ahmedabad,Delhi-Ahmedabad,08-09-2025,14:04,Monday,0,0,6,18,1296,1130,87.19,10,Clear,Summer,Medium
TR300,Duronto Express,Mumbai,Pune,Mumbai-Pune,01-02-2025,15:47,Saturday,1,1,8,15,1080,982,90.93,19,Rainy,Monsoon,High
TR794,Intercity Express,Hyderabad,Jaipur,Hyderabad-Jaipur,16-03-2025,23:14,Sunday,1,0,8,19,1368,1068,78.07,23,Fog,Monsoon,Medium
TR340,Garib Rath,Kolkata,Pune,Kolkata-Pune,05-04-2025,15:19,Saturday,1,1,8,19,1368,876,64.04,28,Rainy,Summer,Medium
TR652,Garib Rath,Delhi,Ahmedabad,Delhi-Ahmedabad,25-05-2025,17:22,Sunday,1,0,1,12,864,603,69.79,0,Rainy,Summer,Medium
TR671,Duronto Express,Chennai,Pune,Chennai-Pune,17-12-2025,20:59,Wednesday,0,0,1,8,576,487,84.55,17,Rainy,Summer,Medium
TR137,Duronto Express,Bangalore,Lucknow,Bangalore-Lucknow,28-12-2025,17:22,Sunday,1,0,6,8,576,607,105.38,0,Fog,Winter,High
TR178,Garib Rath,Delhi,Jaipur,Delhi-Jaipur,28-07-2025,08:08,Monday,0,0,3,9,648,712,109.88,37,Rainy,Summer,High
TR739,Rajdhani Express,Kolkata,Ahmedabad,Kolkata-Ahmedabad,30-06-2025,19:23,Monday,0,0,1,18,1296,1036,79.94,4,Fog,Summer,Medium
TR791,Duronto Express,Chennai,Ahmedabad,Chennai-Ahmedabad,20-04-2025,06:31,Sunday,1,0,4,8,576,449,77.95,19,Cloudy,Summer,Medium
TR823,Shatabdi Express,Delhi,Nagpur,Delhi-Nagpur,08-04-2025,07:55,Tuesday,0,0,1,16,1152,630,54.69,15,Cloudy,Monsoon,Low
TR386,Garib Rath,Bangalore,Nagpur,Bangalore-Nagpur,23-11-2025,20:44,Sunday,1,0,9,20,1440,1480,102.78,12,Fog,Summer,High
TR661,Rajdhani Express,Kolkata,Lucknow,Kolkata-Lucknow,20-06-2025,20:05,Friday,0,0,6,20,1440,758,52.64,7,Fog,Monsoon,Low
TR234,Garib Rath,Hyderabad,Nagpur,Hyderabad-Nagpur,18-11-2025,01:07,Tuesday,0,0,10,10,720,662,91.94,18,Cloudy,Summer,High
TR928,Duronto Express,Chennai,Lucknow,Chennai-Lucknow,17-06-2025,04:55,Tuesday,0,0,6,14,1008,1047,103.87,0,Fog,Monsoon,High
TR575,Rajdhani Express,Delhi,Jaipur,Delhi-Jaipur,02-09-2025,16:59,Tuesday,0,0,3,9,648,372,57.41,4,Clear,Winter,Low
TR182,Intercity Express,Delhi,Jaipur,Delhi-Jaipur,23-03-2025,22:04,Sunday,1,1,5,13,936,863,92.2,12,Cloudy,Monsoon,High
TR774,Garib Rath,Hyderabad,Nagpur,Hyderabad-Nagpur,02-09-2025,17:42,Tuesday,0,0,9,9,648,526,81.17,0,Fog,Winter,Medium
TR298,Rajdhani Express,Kolkata,Pune,Kolkata-Pune,19-01-2025,22:32,Sunday,1,1,6,11,792,576,72.73,18,Fog,Summer,Medium
TR309,Rajdhani Express,Chennai,Pune,Chennai-Pune,30-08-2025,11:00,Saturday,1,0,8,18,1296,1060,81.79,6,Clear,Summer,Medium
TR460,Duronto Express,Kolkata,Pune,Kolkata-Pune,10-01-2025,23:41,Friday,0,0,3,9,648,591,91.2,0,Cloudy,Summer,High
TR886,Duronto Express,Hyderabad,Nagpur,Hyderabad-Nagpur,28-03-2025,10:26,Friday,0,0,3,20,1440,1297,90.07,13,Rainy,Summer,High
TR626,Garib Rath,Bangalore,Jaipur,Bangalore-Jaipur,06-01-2025,09:54,Monday,0,0,1,14,1008,664,65.87,8,Fog,Summer,Medium
TR260,Garib Rath,Kolkata,Vizag,Kolkata-Vizag,05-06-2025,02:55,Thursday,0,0,7,11,792,794,100.25,13,Rainy,Winter,High
TR118,Intercity Express,Hyderabad,Nagpur,Hyderabad-Nagpur,15-04-2025,18:39,Tuesday,0,0,7,8,576,607,105.38,3,Cloudy,Winter,High
TR477,Shatabdi Express,Mumbai,Vizag,Mumbai-Vizag,29-08-2025,09:19,Friday,0,0,4,19,1368,1300,95.03,6,Cloudy,Winter,High
TR811,Garib Rath,Bangalore,Pune,Bangalore-Pune,26-11-2025,13:52,Wednesday,0,0,8,16,1152,918,79.69,24,Fog,Winter,Medium
TR929,Intercity Express,Kolkata,Lucknow,Kolkata-Lucknow,27-03-2025,14:44,Thursday,0,0,1,11,792,499,63.01,22,Rainy,Monsoon,Medium
TR252,Shatabdi Express,Mumbai,Ahmedabad,Mumbai-Ahmedabad,02-10-2025,19:28,Thursday,0,1,1,9,648,360,55.56,30,Clear,Summer,Low
TR506,Garib Rath,Chennai,Ahmedabad,Chennai-Ahmedabad,18-11-2025,12:08,Tuesday,0,0,7,16,1152,1180,102.43,15,Clear,Summer,High
TR553,Rajdhani Express,Bangalore,Nagpur,Bangalore-Nagpur,22-08-2025,01:45,Friday,0,0,2,18,1296,1408,108.64,15,Clear,Summer,High
TR502,Rajdhani Express,Delhi,Pune,Delhi-Pune,10-07-2025,08:17,Thursday,0,1,2,19,1368,1364,99.71,3,Rainy,Summer,High
TR866,Intercity Express,Bangalore,Lucknow,Bangalore-Lucknow,03-02-2025,11:55,Monday,0,0,4,18,1296,737,56.87,8,Clear,Monsoon,Low
TR901,Garib Rath,Delhi,Jaipur,Delhi-Jaipur,15-01-2025,01:34,Wednesday,0,0,2,20,1440,1330,92.36,0,Clear,Winter,High
TR460,Garib Rath,Hyderabad,Pune,Hyderabad-Pune,07-05-2025,19:51,Wednesday,0,0,6,20,1440,1431,99.38,1,Clear,Summer,High
TR416,Shatabdi Express,Bangalore,Vizag,Bangalore-Vizag,07-11-2025,12:51,Friday,0,0,1,12,864,638,73.84,0,Clear,Monsoon,Medium
TR484,Shatabdi Express,Bangalore,Nagpur,Bangalore-Nagpur,25-01-2025,19:55,Saturday,1,0,7,8,576,400,69.44,5,Clear,Monsoon,Medium
TR318,Rajdhani Express,Delhi,Pune,Delhi-Pune,04-03-2025,01:24,Tuesday,0,0,6,16,1152,768,66.67,0,Cloudy,Monsoon,Medium
TR890,Rajdhani Express,Delhi,Pune,Delhi-Pune,13-07-2025,18:18,Sunday,1,0,2,8,576,320,55.56,15,Clear,Summer,Low
TR441,Shatabdi Express,Kolkata,Lucknow,Kolkata-Lucknow,15-12-2025,09:06,Monday,0,1,1,8,576,313,54.34,0,Clear,Winter,Low
TR166,Rajdhani Express,Delhi,Nagpur,Delhi-Nagpur,18-06-2025,23:23,Wednesday,0,0,5,12,864,892,103.24,0,Rainy,Monsoon,High
TR138,Garib Rath,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,02-04-2025,03:29,Wednesday,0,0,5,13,936,722,77.14,21,Rainy,Winter,Medium
TR653,Shatabdi Express,Delhi,Nagpur,Delhi-Nagpur,05-06-2025,04:32,Thursday,0,0,7,20,1440,793,55.07,2,Rainy,Winter,Low
TR578,Garib Rath,Mumbai,Ahmedabad,Mumbai-Ahmedabad,02-05-2025,06:55,Friday,0,0,5,8,576,560,97.22,0,Clear,Monsoon,High
TR111,Shatabdi Express,Chennai,Ahmedabad,Chennai-Ahmedabad,04-10-2025,03:13,Saturday,1,1,3,11,792,857,108.21,0,Rainy,Monsoon,High
TR715,Duronto Express,Hyderabad,Pune,Hyderabad-Pune,30-11-2025,23:20,Sunday,1,0,9,18,1296,1180,91.05,17,Clear,Monsoon,High
TR629,Duronto Express,Mumbai,Jaipur,Mumbai-Jaipur,08-06-2025,09:36,Sunday,1,0,6,19,1368,1443,105.48,0,Fog,Monsoon,High
TR613,Shatabdi Express,Kolkata,Ahmedabad,Kolkata-Ahmedabad,15-11-2025,08:22,Saturday,1,0,2,9,648,335,51.7,2,Cloudy,Summer,Low
TR759,Duronto Express,Hyderabad,Nagpur,Hyderabad-Nagpur,12-05-2025,08:01,Monday,0,0,10,18,1296,1396,107.72,0,Cloudy,Winter,High
TR341,Rajdhani Express,Chennai,Lucknow,Chennai-Lucknow,05-06-2025,15:13,Thursday,0,0,9,13,936,864,92.31,4,Clear,Summer,High
TR772,Garib Rath,Bangalore,Vizag,Bangalore-Vizag,07-06-2025,20:52,Saturday,1,0,4,9,648,556,85.8,2,Clear,Monsoon,Medium
